oc oc0 oc1,"v ~(from sth) to leave the main subject temporarily in speech or writing: [V, Vpr] If I may ____ (from my theme) for a moment, the following story may interest you. + ____ion n [U,C]: The book can be enjoyed for its ___ions.",12/27/2011,digress,,,
oc oc0 oc1,"n a record of amounts, or a score in a game: a match ____ of 14 points + Keep a ____ of how much you spend. + ____ v ~(with sth)(of statements, amounts, etc) to correspond; to be consistent with sth. [V] These figures don't ____. [Vpr] Luckily for you, his story ___s with yours",12/28/2011,tally,,,
oc oc0 14,"d＿ v(fml)(not in the continuous tenses)(a) to perceive, know or find out sth: We soon ___d that there was no easy solution.",,discern,,,
,"l__ noun Anatomy
The hollow muscular organ forming an air passage to the lungs and holding the vocal cords in humans and other mammals; the voice box. 喉頭",12/23/2016,larynx, (plural larynges /l??r?n(d)?i?z/ or larynxes),,
4 5 16 16 17 18,"noun
1A small group of trees or plants growing closely together:
a ____ of ferns
? A small, compact group of people:
they sat on the wall in ____s of two and three",5/13/2016,clump,,,
7,"s__ noun [mass noun]
Care or concern for someone or something:
I was touched by his ___",11/25/2016,solicitude,,,
,"Ⅰ noun Physics
A unit of work or energy, equal to the work done by a force of one dyne when its point of application moves one centimetre in the direction of action of the force.
Ⅱ noun
An area of shifting sand dunes in the Sahara.",12/25/2016,erg,,,
,"noun
1Law , historical An estate of land, especially one held on condition of feudal service; a fee.
2A person’s sphere of operation or control.",12/27/2016,fief,,,
oc oc0 oc1 15 14,"v to accept wrong behaviour or to treat it as if it were not serious; to ignore sth: [Vn] ____ violence/adultery/fraud + Foul play can never be ___d + Not punishing them amounts to ___ing their crime. [also V.ing, V.n ing].",12/31/2011,condone,,/k?n?d??n/,
10 10 9,r__ A room used for communal meals in an educational or religious institution.,4/19/2016,refectory,,,
10 9,"m__ noun [mass noun]
A bright green mineral consisting of hydrated basic copper carbonate, which typically occurs in masses and fibrous aggregates. 孔雀石",7/12/2016,malachite,,,
oc oc0 oc1 oc2 19 18 17 16 17 18,"n [U] 1 a mass of small white bubbles produced by soap or detergent when mixed with water: shaving ____. 2 heavy sweat that looks like ____, esp on a horse. 3 (infml) a nervous or excited state.",4/9/2011,lather,,"/?l????, ?la??/
",
0 0 9 8 9 16 18,"b__ noun [usually in singular]
1A cause of great distress or annoyance:
the telephone was the ____ of my life
2archaic Something, especially poison, which causes death.",5/6/2016,bane,,,
7 9 8 17,"1Rebuff, ignore, or spurn disdainfully:
they ___d his invitation to a meeting of foreign ministers
2Check the movement of (a horse or boat), especially by a rope wound round a post:
a horse ___d to a tree",6/26/2016,snub,,,
9 15 16 17,"s__ noun [mass noun]
Violation or misuse of what is regarded as sacred:
putting ecclesiastical vestments to secular use was considered ____",5/19/2016,sacrilege,,,
10 9 16,"adjective
Badly made or done:
we’re not paying good money for ___ goods
? Lacking moral principle; sordid:
a ___ misuse of the honours system
noun [mass noun]
An inferior quality yarn or fabric made from the shredded fibre of waste woollen cloth or clippings:",7/13/2016,shoddy,,,
,"noun
The natural colouring matter of animal or plant tissue:
carotenoid ___s are red, orange, or yellow
[mass noun] :
the loss of ___ in the skin
? A substance used for colouring or painting, especially a dry powder, which when mixed with oil, water, or another medium constitutes a paint or ink:",12/28/2016,pigment,,,
,"noun
A varied mixture:
a ___ of tender vegetables and herbs",12/29/2016,melange,,/me??l???/,
0 13 18,"s__ adjective
Having or showing keen mental discernment and good judgement; wise or shrewd:
they were ___ enough to avoid any outright confrontation",9/2/2016,sagacious,,,
3 6 5 8 10 15 16 18,"adjective
1Wanting to avoid activity or exertion; lazy:
they were ____ and addicted to a life of pleasure
2Medicine (Of a disease or condition) causing little or no pain.
? (Especially of an ulcer) slow to develop, progress, or heal; persistent.",12/17/2015,indolent,,,
oc oc0 oc1 13,"adj 1(a)(of an area of land) bare and exposed to the wind, etc: ____ hills/mountains/moors. (b)(of the weather) cold and miserable 2(of a situation) not hopeful or encouraging; depressing.",,bleak,,,
,"noun
A low bank or reef of coral, rock, or sand, especially one on the islands in Spanish America. ",12/30/2016,cay,Compare with key2,"/ke?, ki?/",
,"verb
1 [no object, with adverbial of direction] Move with a hissing or rushing sound:
a car ___d by
? [with object] Cause to move with a hissing or rushing sound:
a girl came in, ___ing her long skirts
? Aim a swinging blow at something:
he __d at a bramble with a piece of stick
2 [with object] Basketball Sink (a shot) without the ball touching the backboard or rim.",1/1/2017,swish,,,
oc oc0 oc1 12,"c__ v to burn the surface of the body, esp in order to destroy infection or stop a wound, etc bleeding: [Vn] ____ a snake-bite.",6/19/2012,cauterize,,,
,"noun
A three-dimensional figure symmetrical about each of three perpendicular axes, whose plane sections normal to one axis are circles and all the other plane sections are _(＊)_s.",1/4/2017,ellipsoid,＊ ellipse,,
5 8 14 18,"noun [mass noun]
1Heavy material, such as gravel, sand, or iron, placed in the bilge of a ship to ensure its stability:
the hull had insufficient ___
? A heavy substance carried in an airship or on a hot-air balloon to stabilize it and jettisoned when greater altitude is required:",6/9/2016,ballast,,,
,"s__ adjective
1Most noticeable or important:
it succinctly covered all the ___ points of the case
? Prominent; conspicuous:
the ___ object in my view
2(Of an angle) pointing outwards. The opposite of re-entrant.
3 [postpositive] Heraldry (Of an animal) standing on its hind legs with the forepaws raised, as if leaping.",1/6/2017,salient,,,
17,"verb
Experience or cause to experience a slight prickling or stinging sensation: [no object] :
she was ___ing with excitement
noun
An S-shaped metal clip used to support heavy panes of glass or slates on a roof.",1/2/2017,tingle,,,
11,"s__ noun derogatory
1A woman who has many casual sexual partners.
2dated A woman with low standards of cleanliness.",9/18/2016,slut,,,
oc oc0 15 15,to__ v 1 (a) ~(over) to move from side to side and fall: [Vpr] houses ___ing into the sea [Vp] The pile of books ___d over onto the floor.,,topple,,,
11 16,"verb [with object]
1British Wash or rinse out (an area or container) by pouring large amounts of water or other liquid over or into it:
I ___d out the mug
2informal Drink (something) greedily or in large quantities:
noun
1 [mass noun] Kitchen refuse and scraps of waste food mixed with water for feeding to pigs.",9/19/2016,swill,,,
16,"Ⅱ verb [with object]
1Discover (something) by guesswork or intuition:
mum had _d my state of mind
[with clause] :
they had _d that he was a fake",1/9/2017,divine2,,,
oc oc0 oc3 14 18,n [pl] torn pieces of cloth: His clothes hung in ____. IDM in ____ destroyed; ruined: The court case left his reputation/life/career in ____.,2/19/2011,tatters,,,
oc oc0 oc1 12,"v1 [C] ~(for/with sb/sth); ~(between A and B) a strong feeling of attraction to or interest in sb/sth: She has/feels a strong ____ for the music of Delius. 2 [U,C] ~(with sb/sth); (between A and B) a close relationship between two or more people or things that share a common origin, structure, purpose, etc: There is (a) close ____ between Italian and Spanish.",7/9/2012,affinity,,,
,"noun [mass noun] Biochemistry
A fibrous substance consisting of polysaccharides, which is the major constituent in the exoskeleton of arthropods and the cell walls of fungi.",1/11/2017,chitin,,/?k??t?n/,
,"plural noun Entomology
A group of true bugs comprising those in which the forewings are uniform in texture. Plant bugs such as aphids, whitefly, scale insects, and cicadas belong to this group. Compare with _*_.",1/14/2017,homoptera,* Heteroptera, /h??m?pt(?)r?/,
,"noun
? North American An extension of a building or room that is at right angles to the main part:
1820 brick Federal Colonial featuring clapboard ___
? A bend or joint for connecting two pipes at right angles.",1/16/2017,ell2,,,
oc oc0 11 10 12,"w__ to begin and continue a war, campaign, etc.",,wage,,,
oc oc0 13 16,v 1 to become or make sth smaller or less; to decrease 2 to make sb/sth seem less important than they really are,,diminish,,,
0 6,"noun derogatory
A prostitute.
? A promiscuous woman.
verb [no object]
(Of a woman) work as a prostitute:
she spent her life ___ing for dangerous men
? (often as noun ___ing) (Of a man) use the services of prostitutes:
he lived by night, indulging in his two hobbies, ___ing and eating
? Debase oneself by doing something for unworthy motives, typically to make money:",12/16/2016,whore,,,
7,"雄黄 noun [mass noun]
A bright yellow mineral consisting of arsenic trisulphide, formerly used as a dye and artist’s pigment.",12/13/2016,orpiment,,,
8 12 15,"s___ noun
A dishonest or unscrupulous person; a rogue:
that ___ sets a bad example for the other young men",7/25/2016,scoundrel,,,
,"noun [mass noun]
The branch of zoology concerned with the study of insects.",1/18/2017,entomology,,,
,"noun Physics
A unit of force that, acting on a mass of one gram, increases its velocity by one centimetre per second every second along the direction that it acts.",1/19/2017,dyne,,,
,"noun
A small bug which feeds by sucking sap from plants; a blackfly or greenfly. ___s reproduce rapidly, sometimes producing live young without mating, and large numbers can cause extensive damage to plants. アブラムシ",,aphid,, /?e?f?d/,
0 0 0 9 8 14 18,"h___y adjective
Arrogantly superior and disdainful:
a look of ___ disdain
a ___ British aristocrat",4/23/2016,haughty,,,
oc oc0 12 12 11 16 18,ex___ v(fml) to remove or destroy completely sth undesirable or bad:[Vn] ____ terrorism/lliteracy,,extirpate,,,
oc oc0 oc1 oc2 11 10 11,g___ adj (usu derog) more elaborate than necessary; producing or meant to produce a splendid effect,,grandiose,,,
,"noun
A small bug with a protective shield-like ___. It spends most of its life attached by its mouth to a single plant, sometimes occurring in such large numbers that it becomes a serious pest. カイガラムシ",1/24/2017,scale insect,,,
0 8,"noun 
A post-mortem examination to discover the cause of death or the extent of disease:
a Home Office pathologist carried out the ___",11/23/2016,autopsy,,,
,"noun
1A small, thin, narrow piece of something cut or split off a larger piece:
a ___ of cheese
figurative
there was a ___ of light under his door
2A strip of loose untwisted textile fibres produced by carding.
verb",1/26/2017,sliver,,,
14,"noun
1A mound of rough stones built as a memorial or landmark, typically on a hilltop or skyline.
? A prehistoric burial mound made of stones:
a chambered ___
2(also ___ terrier)A small terrier of a breed with short legs, a longish body, and a shaggy coat. [Perhaps so named from being used to hunt among ___s]",9/27/2016,cairn,,/k??n/,
0 11 10 17 18,"__s adjective
1Very numerous:
___ rugs kept us warm
? Consisting of or containing many individuals or elements:
the ___ array of chemical substances that exist in the natural world",7/1/2016,multitudinous,,,
17,"noun Physics
An effect whereby a mass moving in a rotating system experiences a force (the ___ force) acting perpendicular to the direction of motion and to the axis of rotation. On the earth, the effect tends to deflect moving objects to the right in the northern hemisphere and to the left in the southern and is important in the formation of cyclonic weather systems.",1/25/2017,Coriolis effect,,,
oc oc0,"Ⅰ v 1 ~(at sb/sth)(of dogs, etc) to show the teeth and growl angrily: [Vpr] The dog ___d at the milkman. [also V]. 2 ~(sth)(at sb)(of people) to speak in an angry bad-tempered voice. n
Ⅱ n (infml) a confused state; a knot: My knitting was in a terrible ___. v",5/14/2011,snarl,,,
oc 16,"c_10_ 1 to say that sth a person has said or written is wrong, and that the opposite is true 2 to be contrary to sth or to give opposite imformation",,contradict,,,
9 oc0,"adjective
Simple and somewhat glib or unconvincing:
there are no ____ answers to these questions
adverb
At exactly the right moment or in the right way; very conveniently or opportunely:
the happy ending came rather ____",8/23/2015,pat2,,,
oc0,"noun
A preliminary or preparatory statement; an introduction:
he could tell that what she said was by way of a ____
[mass noun] :
I gave him the bad news without ____
? Law The introductory part of a statute or deed, stating its purpose, aims, and justification.",11/14/2015,preamble,,,
oc oc0 oc2,"d__ n 1 an amount of a medicine or drug to be taken at one time: give/administer the correct ____. 2 (infml) an amount or period of sth, esp sth unpleasant: I can only stand her in small ____s (ie for a short time). + a lethal ____ of radiation.",4/29/2011,dose,,,
oc,"s__ Ⅰ n (dated or rhet) 1 [C] a very soft wet area of land: The battlefield was a ___ of mud and corpses. 2 [sing] ~of sth   a bad state of mind that is hard to change:
Ⅱ v ~sth (off) to let skin, dead tissue, etc fall off; to cast sth off: [Vnp, Vn] a snake ___ing (off) its skin",6/13/2011,slough,,Ⅰ /sla?/ Ⅱ /sl?f/,
5 oc0,"noun
1informal A small child, especially a cheeky or mischievous one:
is the little ____ up to his tricks again?
? [usually as modifier] Canadian An initiation level of sports competition for young children:
____ hockey
2dated , chiefly British An unpleasant or coarse man.
3A dog, especially a mongrel.
4(also Yorkshire ____)British informal A person from Yorkshire:",10/20/2015,tyke,(also tike),,
oc oc0 oc2 oc3 oc2,q__ n (usu pl) ~(about sth) a feeling of doubt or worry about whether what one is doing is right: He had no ___s about cheating his employer.,,qualm,,,
13,"c__ verb [no object]
Crouch down in fear:
children ___d in terror as the shoot-out erupted",10/1/2016,cower,,,
oc oc0 16 15,"s_5_ v [Vn,Vnp] ~sth (out) to stop the flame of a candle burning",,snuff,,,
0,"verb [with object]
1Engrave (metal, glass, or stone) by coating it with a protective layer, drawing on it with a needle, and then covering it with acid to attack the parts the needle has exposed, especially in order to produce prints from it:(as adjective ___d)
___d glass windows
2(Of an acid or other solvent) corrode or eat away the surface of (something):",1/27/2017,etch,,,
14 16,"i__ noun informal
A stupid person.
adjective [attributive]
Stupid; idiotic:
try not to make ___ remarks",10/1/2016,imbecile,,/??mb?si?l/,
,"noun
1(_Caps_)(In the UK) the title given to a woman with the rank of Knight Commander or holder of the Grand Cross in the Orders of Chivalry:
___ Vera Lynn
2archaic or humorous An elderly or mature woman:
a matronly ___ presided at the table",1/31/2017,dame,,,
0,"noun
1A thick, blunt needle with a large eye, used for drawing tape or cord through a hem.
? historical A long pin used for fastening up the hair.
2Printing A pointed tool used for removing pieces of metal type for correction.
3archaic A dagger.",1/28/2017,bodkin,,,
oc oc0 oc1 oc2 16 15 15 16 16 17 18,サバ ____ sky いわし雲,5/19/2011,mackerel,,,
0 18,"North American informal
noun [mass noun]
Impudence; cheek:
the kind of boy that wouldn’t give you any ___
verb [with object]
Be cheeky or rude to (someone):
we wouldn’t have dreamed of ___ing our parents",1/30/2017,sass,,,
18,"noun
A short, simple song:
a lovely little music-hall ___",2/3/2017,ditty,,,
17,"Zoology
noun
An arthropod of the class _*_ , such as a spider or scorpion.
adjective
Relating to or denoting ___s.",,arachnid,* Arachnida,,
0 0 6 10,"adjective
Keeping careful watch for possible danger or difficulties:
the burglar was spotted by ___ neighbours",9/22/2016,vigilant,,,
11,"noun [mass noun]
Dry, flammable material, such as wood or paper, used for lighting a fire:
they slashed down the undergrowth for ___
[count noun] :
he lit it with a ___",10/17/2016,tinder,,,
6 11 11,"c__ noun
A large barrel-like container used for storing liquids, typically alcoholic drinks:
the wine is stored in oak ___s
? The quantity of liquid held in a ___:
a ___ of cider",6/17/2016,cask,,,
5 4 5 9 17,"noun
A person who lives a solitary life and tends to avoid other people:
she has turned into a virtual ___
he’s a bit of a ___
adjective archaic
Favouring a solitary life.",9/21/2016,recluse,,,
oc oc0 oc2 11 17,d__ made weak by age or hard use: a ____ person/horse/bicycle.,,decrepit,,,
10,"verb [with object]
Trim (a tree, shrub, or bush) by cutting away dead or overgrown branches or stems, especially to encourage growth:
now is the time to ___ roses",10/21/2016,prune2,,,
oc oc0 oc1 15 16,"_7_ to become or make sth thick or solid, esp by cooling",,congeal,,,
10,"e__ verb [with object]
1Involve (something) as a necessary or inevitable part or consequence:
a situation which ___s considerable risks
? Logic Have as a logically necessary consequence.
2Law Limit the inheritance of (property) over a number of generations so that ownership remains within a particular family or group:
her father’s estate was ___d on a cousin",10/24/2016,entail,,,
15,"g__ adjective
Expressed in or of the nature of short, pithy maxims or aphorisms:
that most ___ form, the aphorism
? Difficult to understand because enigmatic or ambiguous:
I had to have the ___ response interpreted for me",9/14/2016,gnomic,,,
8 18,"adjective
Strongly laxative in effect.
? Having the effect of ridding one of unwanted feelings or memories:
the ___ action of language
noun",11/30/2016,purgative,,/?p????t?v/,
oc oc0 9 9,r＿ adj (of people or their behaviour) having or showing no pity or feeling for others; hard and cruel: a ____ dictator +be utterly ____ in one's determination to succeed +The campaign was conducted with ____ efficiency.,,ruthless,,,
oc oc0 12 11 11,the scientific study of the form and structure of animals and plants,,morphology,,,
oc oc0 10 9 15 15 16,i_6_ v1 ____ sth into sb/sth; ____ sb/sth with sth     to put a quality into sb/sth: [Vnpr] ____ new life/interest into the debate,,infuse,,,
11 11,"t__ noun
A seabird related to the gulls, typically smaller and more slender, with long pointed wings and a forked tail. アジサシ",7/22/2016,tern1,,,
,"Ward off (a weapon or attack) with a countermove:
he ___d the blow by holding his sword vertically
? Answer (a question or accusation) evasively:
he ___d questions from reporters outside the building",2/5/2017,parry,,,
17,"noun
A woman who provides massage professionally.",2/7/2017,masseuse,masseur,/ma?s??z/,
,"noun (plural same or ___s) Geology
An elongated block of the earth’s crust lying between two faults and displaced downwards relative to the blocks on either side, as in a rift valley. 地溝",2/8/2017,graben,,,
,"noun
1A slender thread-like object or fibre, especially one found in animal or plant structures:
each myosin ___ is usually surrounded by 12 actin ___s
? Botany The slender part of a stamen that supports the anther.
? Astronomy A narrow streamer from the sun’s chromosphere or in its corona.
2A conducting wire or thread with a high melting point, forming part of an electric bulb or thermionic valve and heated or made incandescent by an electric current.",2/9/2017,filament,,,
7 11,"l__ noun
A room or large cupboard for storing food.",9/12/2016,larder,,,
,"adjective
Having or using the style or diction of prose as opposed to poetry; lacking imaginativeness or originality:
___ language can’t convey the experience
? Commonplace; unromantic:
the masses were too preoccupied by ___ day-to-day concerns",2/16/2017,prosaic,, /pr?(?)?ze??k/,
,"noun Astronomy
A reddish gaseous layer immediately above the photosphere of the sun or another star which, together with the corona, constitutes its outer atmosphere. 彩層",2/20/2017,chromosphere,,,
10,"d__ noun [mass noun]
The excrement of animals; manure.
verb [with object]
Drop or spread ___ on (a piece of ground).
? [no object] (Of an animal) defecate.",2/14/2017,dung,,,
0 17,"adjective
Relating to heraldry or heraldic devices:
___ bearings",2/13/2017,armorial,,,
oc oc0 oc1 12 12 13,r__ adj (of a sound) loud and rough: We could hear the sound of ____ laughter coming from the pub across the street. ___ly adv ___ness n[U],4/28/2011,raucous,,,
0 3 7 11 15,"s__ noun
1A sudden violent gust of wind or localized storm, especially one bringing rain, snow, or sleet:
low clouds and ___s of driving rain
2A loud cry:",9/3/2016,squall,,,
,"adjective
1Emitting light as a result of being heated:
plumes of ___ liquid rock
? (Of an electric light) containing a filament which glows white-hot when heated by a current passed through it:
an ___ lamp 白熱灯
2Full of strong emotion; passionate:
she felt an ___ love for life
? Extremely angry:
I am ___ at the way I’ve been treated",2/21/2017,incandescent,,,
,"PHR V 1(Of the hair, teeth, etc.) become detached and drop out:
the chemotherapy made my hair ___
2Have an argument:
he had ___en with his family
3Leave one’s place in a military formation, or on parade:
the two policemen at the rear ___d of the formation
4Happen; turn out:
matters ___d as Stephen arranged",2/22/2017,fall out,,,
,"3Geology An extended break in a rock formation, marked by the relative displacement and discontinuity of strata on either side of a particular plane:
a landscape broken by numerous ___s
[as modifier] :
the ___ plane dips northwards 断層",,fault,,,
oc oc0 10 11,money paid for the release of a person held as a captive 身代金,,ransom,,,
,IDM informal Be killed.,2/24/2017,buy it,,,
0 0,"noun Botany
The male fertilizing organ of a flower, typically consisting of a pollen-containing anther and a filament. おしべ",2/19/2017,stamen,,,
,"IDM informal In quick succession:
it’s nice to get four victories ___",2/25/2017,on the bounce,,,
,"noun [mass noun]
A game in which players in turn vault with parted legs over others who are bending down:
we were playing ___",2/27/2017,leapfrog,,,
0 0,"IDM 1(Of livestock) not yet slaughtered:
livestock ___
2British informal Without proper thought or preparation:
policy was made ___",2/26/2017,on the hoof,,,
3 8 14 15 18,"y__ noun
A loud wailing cry, especially one of pain or distress.
verb [no object]
Make a loud wailing cry:
out in the street, a cat was ___ing",3/16/2016,yowl,,,
,"Ⅰ noun 1North American A side channel or inlet, or a natural channel that is only sporadically filled with water: [in place names] :
2A situation characterized by lack of progress or activity:
Ⅱ verb 1 [with object] (usually ___ sth off) Shed or remove (a layer of dead skin):
a snake ___s off its old skin exfoliate once a week to ___ off any dry skin
? Get rid of (sth undesirable or no longer required):
2 [no object] (___ away/down) (Of soil or rock) collapse or slide into a hole or depression:",3/1/2017,slough,,Ⅰ /sla?/ Ⅱ /sl?f/,
6 16,"Ⅰ noun [mass noun]
Inflammation of the larynx and trachea in children, associated with infection and causing breathing difficulties.
Ⅱ The rump or hindquarters, especially of a horse.",8/22/2016,croup,,,
0,"informal
noun
1A rough and uncouth person:
the usual ___s and gangsters
2An oil rig worker.",2/28/2017,roughneck,,,
9 8,"noun
A truck or cart without sides, for delivering beer barrels or other heavy loads.
? Australian /NZ A two-wheeled cart.",10/2/2016,dray,,,
,"noun
An Old World plant with flat five-petalled, typically bluish flowers and glossy leaves. Some kinds are grown as ornamentals and some contain alkaloids used in medicine. ツルニチニチソウ ",,periwinkle,Ⅱ winkle,,
