oc oc2 28,"v ~sth (to sb); ~sb (for sth) (usu fml) to pay back money to sb which they have spent or lost: [Vn] My expenses were fully __d. [Vnpr] We will ___ the customer for any loss or damage. [also Vnn]. +__ment n[U,C]",10/30/2012,reimburse,,
oc,"n__ v 1 to keep a person, an animal or a plant alive and well with food: [Vn] badly ___d children 2 (ml) to allow a feeling to continue and develop: For some time I had ___d a wish to write my memoirs.",,nourish,,/ˈnʌrɪʃ/
oc oc0,"v 1 ~sth(up)(with sth) to add coal or some other fuel to a fire, etc: [Vn, Vnpr] ___ the boiler/furnace (with coal) [Vnp] ___ up the fire. 2 ~sth (up) to encourage or increase an emotion, a tendency, etc: [Vn] ___ fears of a property slump [Vnp] ___ up public anger. +__er n a person who __s a fire, etc, esp on a ship.",3/20/2012,stoke,,
oc oc3,ザクロ,6/22/2012,pomegranate,,
oc oc3,"_6_ v (a) to smile in a foolish insincere way: [V] a __ing waiter. (b) to say sth with such a smile: [V.speech] 'I never expected to win,' he __d. +__. n[sing] a foolish insincere smile. __ingly adv.",12/15/2012,simper,,
oc,"+1 n(a) a large number of fish swimming together: a ___ of herring. (b): __s of tourists/complaints/letters. +2 a shallow place in the sea, a bank of sand, etc, esp that can be seen when the water level is low: run aground on a ___ +Steer away from the __s.",1/12/2013,shoal,,
oc,"adj (fml) filled with or showing deep regret for having done wrong: a ___ apology/manner +Gloria looked ___, even distressed. +__ly adv __ion n[U]: tears of __ion",8/25/2012,contrite,,
oc,"n [U] (infml) liveliness; energy and enthusiasm: The captain was trying to put some ___ into the team. +___ v PHR V ___ sb/sth up (infml) to make sb/sth more lively or energetic: A walk in the fresh air will ___ you up. +___ pill n (infml) a pill containing a drug that stimulates the nervous system. ___ talk n (infml) a talk. intended to encourage sb to work harder, try to win, have more confidence, etc.",3/9/2013,pep,,
oc oc2,m__ 2 [U] ~(in sb/sth)(infml) a  benefit or advantage: He doesn't think there's any ___ in that type of advertising. + They got a lot of political ___ out of the affair. +___ allowance n an allowance paid to cover the expenses of using one's own car on company business.,3/11/2013,mileage,,
oc oc2,"v ~(up) to shrink and wrinkle from heat or cold or because of being dry; to make sth shrink, etc in this way: [V, Vp] The leaves had __d (up) in the sun. [Vn] The heatwave is __ing potato stocks. +__d adj: an old man with a brown, __d face",2/22/2013,shrivel,,
oc,"n 1 a pointed stick, use for making cattle move forwards. 2 a thing urging a person to action: offer economic help as a ___ to political reform. +__ v~sth sb/sth (into sth/doing sth) to provoke or annoy a person or an animal continually: [Vn] ___ a mule/donkey [Vnpr] His persistent questions finally __d me into answering. PHR V ___ sb on: __d on by fierce ambition",2/23/2013,goad,,
oc,"v 1 to kill a certain number of usu weaker animals in a group, in order to reduce its size: [Vn] Deer are __d by hunters. +The herd must be __d. 2 ~sth (from sth) to select or obtain sth from various different sources: [Vnpr] information __d from a number of reference books [also Vn]. +___ n (a): an annual seal ___. (b) [sing]: sell the ___ as meat.",2/27/2013,cull,,
oc,"v (usu passive) to make sb unable to think or react properly because of shock, surprise, etc: [Vn] He was __d for a moment by the blow to his head. +They are still __d by the extraordinary events of the last few days. +___n IDM in a ___   in a confused state: I've been in a complete ___ since hearing your sad news. __d adj.",2/22/2013,daze,,
oc,トウモロコシ,12/8/2012,maize,,
oc,"adj of a group or society as a whole; joint; shared: ___ action/effort/guilt/responsibility/wisdom +___ leadership(ie government by a group rather than an individual). +___ n (a) [C] an organization or enterprise, esp a farm, owned and controlled by the people who work in it: a worker's ___. (b)[CGp] these people as a group. __ly adv: They were known __ly as the 'Gang of Four'. __ism. __ist. __ize,ise v[Vn] to transfer farms, industries, land etc from private ownership to ownership by the state.",3/3/2013,collective,,
oc oc2,e__ adj regularly found in a particular country or area or among a particular group of people: Malaria is ___ in/to many hot countries. an attitude ___ among senior members of the profession.,11/17/2011,endemic,"Compare epidemic, pandemic",
oc,"A: What did you think about my presentation? Please don't ___ ___. B: To be honest, I liked the first 20 minutes, but I got bored afterwards. It was a bit wishy-washy. 率直に言う",3/4/2013,not mince words,,
oc,A: I can't find a large-sized map of Manhattan in this travel guide book. B: You can usually find enlargements in a ___.,3/5/2013,foldout,,
oc,A: I have a three-hour ___ in Washington D.C. on my way to Boston. B: That's a long wait. I hope you have something to read.,3/5/2013,layover,,
oc oc2,"Once seen as a symbol of women's domestic drudgery, marketers are __ing a new kind of apron with colorful and sexy designs. 売り出す",3/6/2013,pitch,,
oc,焼却処分する,3/6/2013,incinerate,,
oc,"The Connecticut home of Christie Levy, the founder of ABC Musium in NYC, is on the market for five million dollars. Ms.Levy, who died in 1980, __d the artist Wassily Kandinsky.",3/7/2013,champion,,
oc,"+1 v ~sth (to sth) to delay sth until a later time; to postpone sth: [Vn] __d payment (ie made later in separate parts after an item has been sold). +__ment, __al +2 v ~to sb/sth to yield to sb or their wishes, judgement, etc, usu because of respect; to show respect: [Vpr] On technical matters, I ___ to the experts. __ence n[U]",6/27/2012,defer,,
oc,"n [U, sing] ~(with sb/between A and B) a class relationship in which people understand each other very well: Strike up/establish a (close) ___ with sb +He has a very good ___ with his pupils. +There was little ___ between the two women.",3/9/2013,rapport,,
oc,"v 1 (a) (of a sound) to be repeated several times as an echo: [Vpr] The piercing sound of a hunting horn __d through the forest. (b) ~(with sth)(of an atmosphere or a place) to seem to shake and be disturbed because of a loud noise: [Vpr] The room __d with the noise of the shot. [also V]. 2 to have a severe and upsetting effort: [V, Vpr] Repercussions of the case continue to ___ (in/through the financial world). __ion n[U, C usu pl]",2/24/2012,reverberate,,
oc,"v ~(with sb)(for/on/over sth) to feel or say that one feels sympathy: I __d with her on the death of her pet dog. [also V, V.speech]. +__ion: We offer our congratulations to the winner and __ions to the gallant losers.",11/28/2012,commiserate,,
oc,n [sing] 1 ~(for sth/doing sth) a skill at performing some special task; an ability: Making pancakes is easy once you've got the ___. 2 ~of doing sth a trick or habit of doing sth: My car has an uncanny ___ of breaking down just when I need it most. __er v (Brit sl) to make sb very tired. __ered adj. __er's yard.,6/12/2012,knack,,
oc,"v 1 to give sth a smooth even shape, so that it can move quickly and easily through air, water,etc:[Vn] __d racing cars. 2 to make a system, an organization, etc more efficient and effective, eg by using faster or simpler working methods: [Vn] ___ a production process.",3/12/2013,streamline,,
oc oc1,"n (grammar) a word formed from a verb, ending in -ing (present ___) or -ed, -en, etc (past ___). __s are used in verb phrases (eg She is going or She has gone) or as adjectives (eg as a fascinating story): 'Hurrying' and 'hurried' are the present and past __s of 'hurry'. +__ial adj: 'Loving' in 'a loving mother' and 'polished' in 'polished wood' are __ial adjectives.",3/29/2013,participle,,
oc,"n 1 (a) money paid for the use of eg a road or bridge. 2 the number of people or animals killed or injured in particular circumstances: the death ___ in the earthquake/ on the roads/ after the massacre. IDM take a heavy ___/take its ___ (of sth) to cause damage, injuries or deaths: The war took a heavy ___ of human life. v ~(for sb/sth) to ring a bell with slow regular strokes, esp to announce a death or at a funeral. [Vn][V].",3/13/2013,toll,,
oc,adj 1 (a) good for one's health: plain but ___ meals. (b) suggesting a healthy condition: have a ___ appearance. 2 morally good or worthy: a ___ influence. Compare un__. +__ness n[U].,3/13/2013,wholesome,,
oc,IDM (esp of a doctor) available for work if necessary: Who's ___ ___ tonight?,3/14/2013,be on call,,
oc,n 3 (also infml ___) [C] the price that sb saids they would charge for a piece of work: a written ___ +You should get a number of __s from different builders. Compare estimate3. 4[C](finance) a statement of the correct price of stocks or commodities: the latest __s from the Stock Exchange.,3/15/2013,quotation 3(also infml quote),,
oc,"v (infml) (a) to catch sb doing sth wrong; to arrest sb: [Vnpr, Vn] He was __d (by the police) for speeding. (b) to take or catch sb/sth: [Vn] I tried to ___ him as he was leaving the meeting. +Who's __d my pen?",2/24/2013,nab,,
oc,"n 1 food, money or clothes given free to a person in need: be dependent on __s. 2 (a) a notice, an advertisement, etc distributed to the public. (b) a written statement, copy of a political speech, etc that is given to the press: election __s. (c) printed information given to students that contains eg a summary of a lecture or a set of exercises.",3/16/2013,hand-out,,
oc,IDM to be adequate or suitable for a specific purpose: If you're very hungry a double helping of spaghetti should ___ ___ ___!,3/18/2013,fill (fit) the bill,,
oc oc0,n [U] 1 guns shooting at enemy aircraft; fire from those guns: run into heavy ___. 2 (infml) severe criticism: take/face plenty of ___ from the hostile audience +The plans for the new tax have come in for a lot of ___ (ie have been very strongly criticized). +___ jacket n.,9/9/2012,flak,,
oc oc0 oc2,"adj not used or cared for and in bad condition: a ___ building + ___ and. +___n a person without a home, a job or property: __s living on the streets. __ion 2 (fml) the deliberate failure to do what one ought to do: Police officers found guilty of a serious __ion of duty.",10/26/2012,derelict,,
oc,"PHR V to avoid doing or being involved in sth because of being ___ or afraid, lacking confidence, etc: I've always __d ___ ___ close friendships.",3/19/2013,shy away from sth/doing sth,,
oc,v ~sth/sb to sth (usu passive) to make sth/sb adjust to sth new and become familiar or in harmony with it: [Vnpr] become __d to the idea of change +We/Our ears are now __d to the noise of the new factory nearby.,3/20/2013,attune,,
oc,"n a set of leather bands attached to a metal bit and reins, which is put on a horse's head and used for controlling it. +v 1 to put a ___ on a horse 2 to keep one's feelings, etc under control; to restrain sth: [Vn] ___ one's tongue (ie be careful what one says). Compare un__ed. 3~(at sth) to show that one is angry or offended about sth, esp by moving one's head up or back in a proud way. +__-path suitable for horses not cars.",1/16/2013,bridle,,
oc,"n 1 (botany) (a) a small swelling on a root or branch. (b) a place on the stem of a plant from which a branch or a leaf grows. 2 (anatomy) a small hard mass of tissue, eg on a joint in the human body: lymph __s. 3(techn) a point at which two lines or systems meet or cross. +__l adj",3/22/2013,node,,
oc,n verbal noun. -ing,3/23/2013,gerund,,
oc oc0 oc3,v (derog) (a) ~sth (out of sb) to obtain sth by repeated requests or insincere praise:[V] a __ing tone of voice [Vnpr] She __d the money out of her father. +He __d his way into the building. (b) ~sb (into doing sth) to persuade sb to do sth: [Vnpr] The children __d me into letting them go to the film. [also Vn].,1/15/2013,wheedle,,
oc,adj [pred] (infml) having no money: Could you lend me 10 pound? I'm completely ___! +During the recession thousands of small businesses went ___ (ie were ruined financially). IDM flat/stony ___ (infml) Completely ___. go for ___ (infml) to risk every thing in one determined attempt at sth.,3/25/2013,broke2,,
oc,"PHR V 1 to enter sth by force: Our house was __d ___ by burglars last week. 2: As the President's car arrived, the crowd __d ___ loud applause. 3: ___ ___ a trot/canter/gallop. 4 (of an activity) to use up time that would normally be spent doing sth else: All this extra work I'm doing is ___ing ___ my leisure time. 5: I can't pay you the 50 p I owe you without __ing ___ a 5 pound note. 6: ___ ___ emergency supplies of food.",3/28/2013,break into sth,,
oc,"v to take sb's property away from them by the use of one's authority, usu as a punishment: [Vn] The teacher __d Ian's catapult. +If you are caught smuggling goods into the country, they will probably be __d. +__ion n[U, C]",7/14/2012,confiscate,,
oc,adj 1 believing strongly in and always obeying the rules of a particular religion: a ___ Muslim. 2 sincere; deeply felt. __ly adv __ness n[U],4/30/2011,devout,,
oc,+1 n ~(of sth)(arch or rhet) a source or origin of sth: She was regarded as the ___ of all wisdom. +2 n a set of printing type of one style or size.,4/8/2013,fount +2 also font,,
oc,"+1 n a person or an animal that is being hunted or chased: The hunters lost sight of their ___ in the forest. +2 n a place where stone, etc is dug out of the ground: a chalk/state/limestone +___ v ~A for B/B from A; ~sth out (of sth) to extract stone, etc from a ___: [Vnpr] __ing the hillside for granite. [also Vn, Vnp, Vpr].",4/18/2013,quarry,,
oc,"n 1 a sound made when a tight string, esp on a musical instrument, is pulled and released: the ___ of a guitar. 2 the quality of speech sounds produced through both the nose and the mouth: speak with a ___ + a slight Cockney ___. +__v[Vn] Someone was __ing a guitar in the next room. [also V].",4/19/2013,twang,,
oc oc0,+1 v ~ (about sb/sth)(infml derog) to complain about sb/sth; to grumble: [Vpr] He keeps __ing about having no money. [also V]. +n (infml): He always seems to have a ___ about something. +2 v to feel or cause sudden sharp pain in the stomach or intestines: [V] medicine to take when your stomach __s. +the __s [pl](infml) sharp pain in the intestines.,3/17/2013,gripe,,
oc,"n a person whose job is helping doctors, etc with medical work: ambulancemen and other __s +__al adj: __al skills/services/staff.",4/21/2013,paramedic,,
oc,"n[U] 1 a small plant with blue flowers, grown for its stem and seeds. 2 the thread got from the stem of the ___ plant, used in making linen +__en adj (of hair) pale yellow: a __en-haired child. 亜麻",4/23/2013,flax,,
oc oc1,"n 1 [U] a system of rules governing formal occasions, eg meetings between govenments, officials, etc: the ___ of diplomatic visits +a breach of ___ +___ demands that formal dress be worn on such occasions. 2[C](fml) the first or original version of an agreement, in writing.",5/1/2013,protocol,,
oc oc1 oc2,"VERB [WITH OBJECT] 1Reject with disdain or contempt.  ‘he spoke gruffly, as if afraid that his invitation would be ___d’    ",12/8/2014,spurn,,
oc oc0 oc2,"ADJECTIVE

Characterized by severe self-discipline and abstention from all forms of indulgence, typically for religious reasons.
‘an ___ life of prayer, fasting, and manual labour’",11/10/2012,ascetic,,
oc oc0 oc2,"NOUN mass noun 1A medical condition with yellowing of the skin or whites of the eyes, arising from excess of the pigment bilirubin and typically caused by obstruction of the bile duct, by liver disease, or by excessive breakdown of red blood cells.     2Bitterness, resentment, or cynicism.  ‘___ connotes bitterness or resentment. Of what is she bitter or resentful? What bitterness or resentment might she be urging upon us?’",12/12/2011,jaundice,,
oc oc0 oc2,"NOUN 1A strong wooden or metal post with a point at one end, driven into the ground to support a plant, form part of a fence, mark a boundary, etc.     1.1the ___ historical A wooden post to which a person was tied before being burned alive as a punishment. ‘Bishop Ridley was burned at the ___’",2/21/2013,stake,,
oc oc0 oc2,n mass noun A state or feeling of active opposition or hostility.  ‘decades of ___ between the two countries’ count noun ‘family feuds and ___s’,2/26/2013,enmity,,
oc oc0 oc2,VERB [WITH OBJECT] 1Send (someone) back to their own country.  ‘the last German POWs were ___d in November 1948’    1.1no object Return to one's own country. ‘the majority came to America as migrant workers who intended to ___ to Hungary’,5/24/2013,repatriate,,
oc oc0 oc2,VERB [WITH OBJECT] Carry out (a task) clumsily or incompetently.  ‘he ___d his first attempt to manage a group of professional players’ no object ‘it emerged that forensic police had ___d in gathering the evidence’,6/30/2013,bungle,,
oc oc0 oc2,"NOUN 1An area of land, typically a large one.  ‘large ___s of natural forest’    1.1An indefinitely large extent of something. ‘it took courage to privatize vast ___s of nationalized industry’   2A major passage in the body, large bundle of nerve fibres, or other continuous elongated anatomical structure or region.  ‘the digestive ___’",8/14/2013,tract,,
oc oc0 oc1 oc2,Attribute the blame or responsibility for something to (someone)  ‘they __d the blame for the loss of jobs ___ the trade unions’,9/16/2012,pin something on,,
oc oc0 27,"f__ n 1 [U,C] the action or an instance of deceiving sb in order to make money or obtain goods illegally 2 [C] a person who deceives others by pretending to have abilities that she or he doesn't really have.",,fraud,,
oc oc0,j__ to mix things in a confused way,,jumble,,
oc oc0 oc1 oc2 oc3,"VERB [WITH OBJECT] 1Instil (an idea, attitude, or habit) by persistent instruction.  ‘I tried to ___ in my pupils an attitude of enquiry’    1.1Teach (someone) an attitude, idea, or habit by persistent instruction. ‘they will try to ___ you with a respect for culture’",10/15/2012,inculcate,,
oc oc0 oc1 oc2 oc3,NOUN 1A peculiar aspect of a person's character or behaviour.  ‘they accepted her attitude as one of her little ___s’    1.1A strange chance occurrence. ‘a strange ___ of fate had led her to working for Nathan’,6/5/2013,quirk,,
oc oc0 oc1 oc2 oc3,ADJECTIVE 1In agreement or harmony.  ‘the rules may not be ___ with the requirements of the law’ ‘institutional and departmental objectives are very largely ___’,11/12/2013,congruent,,
oc oc0 oc1 oc2 oc3,"ADJECTIVE (of a person's hair, clothes, or appearance) untidy; disordered.  ‘a man with long ___ hair’   ",4/26/2014,dishevelled,,
oc oc0 oc1 oc2 oc3,"VERB [NO OBJECT] 1Wriggle or twist the body from side to side, especially as a result of nervousness or discomfort.  ‘he looked uncomfortable and ___d in his chair’   ",1/14/2013,squirm,,
oc oc0 oc1 oc2,ADJECTIVE 1Music Relating to or using notes not belonging to the diatonic scale of the key in which a passage is written.    1.1(of a scale) ascending or descending by semitones.   1.2(of an instrument) able to play all the notes of the ___ scale. ‘the master of the ___ harmonica’,8/20/2013,chromatic,,
oc oc0 oc1 oc2,"ADJECTIVE 1formal, literary Many and various.  ‘the implications of this decision were ___’    1.1Having many different forms or elements. ‘the appeal of the crusade was ___’",10/26/2013,manifold,,
oc oc0 oc1 oc2,"adj 1(of a state, quality, or emotion) very great or intense.  ‘___ feelings of disquiet’ ‘the implications of this discovery are ___’    1.1(of a disease or disability) very severe. ‘a case of ___ liver failure’",7/28/2013,profound,,
oc oc0 oc1 oc2,"NOUN 1A sudden attack or incursion into enemy territory, especially to obtain something; a raid.  ‘the garrison made a ___ against Richard's camp’   ",9/13/2012,foray,,
oc oc0 oc0 oc2,"VERB

[NO OBJECT]
1Have saliva dripping copiously from the mouth.
‘Fido tended to ___’  
1.1 overShow excessive enthusiasm for.
‘news executives __d over him for autographs’",3/28/2013,slobber,,
oc oc0 oc0 oc2,"ADJECTIVE

1Extremely beautiful and delicate.
‘___, jewel-like portraits’  
2Intensely felt.
‘the most ___ kind of agony’  
2.1Highly sensitive or discriminating.
‘her ___ taste in painting’",8/14/2012,exquisite,,
oc oc0 oc0 oc2,"VERB [WITH OBJECT] Indulge with every attention, comfort, and kindness; spoil.  ‘famous people just love being __d’",6/24/2013,pamper,,
oc oc0 oc0 oc2,"VERB [WITH OBJECT] 1Assess the value or quality of.  ‘there is a need to ___ existing techniques’    1.1Assess the performance of (an employee) formally. ‘some companies are considering team __als instead of __ing individuals’    1.2(of an official valuer) set a price on; value. ‘they __d the painting at £200,000’",11/1/2012,appraise,,
oc oc0 oc0 oc2,"NOUN A remark made in order to anger, wound, or provoke someone.  ‘pupils will play truant rather than face the __s of classmates about their ragged clothes’",3/25/2013,taunt,,
oc oc0 oc0 oc2,v [WITH OBJECT] 1Make (someone) unable to think or feel properly.  ‘the offence of administering drugs to a woman with intent to ___ her’    1.1Astonish and shock. ‘the amount they spend on clothes would appal their parents and ___ their grandparents’,1/20/2012,stupefy,,
oc oc0 oc0 oc2,"NOUN mass noun 1A short period of rest or relief from something difficult or unpleasant.  ‘the refugee encampments will provide some ___ from the suffering’ in singular ‘a brief ___ from the heat’    1.1A short delay permitted before an unpleasant obligation is met or a punishment is carried out. ‘a Letter of Licence, by which creditors agreed to postpone claims, brought only temporary ___’",1/11/2013,respite,,
oc oc0 oc0 oc2,NOUN mass noun 1The state of being harmed or damaged.  ‘he is engrossed in his work to the ___ of his married life’ ‘light industry can be carried out in a residential area without ___ to its amenities’   1.1count noun A cause of harm or damage. ‘such tests are a ___ to good education’,8/15/2013,detriment,,
oc oc0 oc0 oc2,NOUN 1A comic dramatic work using buffoonery and horseplay and typically including crude characterization and ludicrously improbable situations.  ‘he toured the backwoods in second-rate ___s’    1.1mass noun The dramatic genre represented by ___s. ‘the choreographed confusion of real ___’,8/23/2013,farce,,
oc oc0 oc0 oc2,ADJECTIVE 1Anatomy Medicine Turned backwards.  ‘a ___d endoscope’   1.1Phonetics Pronounced with the tip of the tongue curled up towards the hard palate. ‘the ___ /r’,7/25/2014,retroflex,,
oc oc0 oc0 oc2,ADJECTIVE (especially of a woman) attractively lively and animated.  ‘her ___ and elegant mother’ ‘she was dark-haired and ___’,10/20/2013,vivacious,,
oc oc0 oc0 oc2,NOUN informal 1mass noun Nasal mucus.    2A contemptible or worthless person.,4/1/2013,snot,,
oc oc0 oc0 oc2,v [WITH OBJECT] Make (someone) feel uneasy or embarrassed.  ‘he was not noticeably ___d by her tone’,4/17/2013,discomfit,,
oc oc0 oc0 oc2,NOUN informal 1A mistake.  ‘one of the most embarrassing ___s of his tenure’    2A foolish or stupid person.,10/8/2013,goof,,
oc oc0 oc0 oc2,VERB 1with object Surround and have or hold within.  ‘this area of London ___s Piccadilly to the north and St James's Park to the south’    1.1Include comprehensively. ‘no studies ___ all sectors of medical care’,3/17/2013,encompass,,
oc oc0 oc0 oc2,NOUN mass noun Severe mental or physical pain or suffering.  ‘she shut her eyes in ___’ ‘Philip gave a cry of ___’,2/7/2013,anguish,,
oc,"r__ n 1 [C] a fixed quantity, esp an amount of food, fuel, etc that one is officially allowed to have when there is not enough for everybody to have as much as they want: the weekly/butter/meat/petrol ___ (eg during a war). 2
+___ v",5/15/2011,ration,,
oc oc1 oc1,"adj (often derog) ordinary and with little excitement: I lead a pretty ___ life —- nothing interesting ever happens to me. +a ___ film/job +Having decided on the prize winners, the committee moved on to more ___ matters.",5/30/2012,mundane,,
oc oc0 oc2,"q__ n[sing] the ___ of sth (fml) 1 the essential part of a theory, speech, condition, etc: a painting that captures the ___ of Viennese elegance. 2 the perfect example of a quality: She was the ___ of hospitality.",3/26/2011,quintessence,,
oc oc0 oc0 oc2,"v informal no object, with adverbial of direction Walk or move in a leisurely manner.  ‘we decided to ___ on up to Montgomery’",10/4/2013,mosey,,
oc oc0 oc0 oc2,adj informal Mean; ungenerous.  ‘his boss is ___ and idle’,3/21/2013,stingy,,
oc oc0 oc0 oc2,ADJECTIVE 1Irrelevant or unrelated to the subject being dealt with.  ‘one is obliged to wade through many pages of ___ material’    2Of external origin.  ‘when the transmitter pack is turned off no ___ noise is heard’,9/24/2013,extraneous,,
oc oc0 oc0 oc2,adj Fussily and excessively respectable.  ‘a middle-class family with two ___ children’,6/20/2013,prissy,,
oc oc0 oc0 oc2,"NOUN the ___ 1The surface of the ground, with the grass growing on it; turf.  ‘underneath the ___ was a layer of humus’    1.1A piece of turf. ‘I was to retire before even the first ___ was turned’",2/24/2014,sod,,
oc oc0 oc0 oc2,NOUN mass noun A partial or total loss of memory.  ‘they were suffering from ___’,2/25/2014,amnesia,,
